point     x     y
   0 179  39
   1 271  12
   2 110 141
   3 223 360
   4 246 259
   5 255 259
   6 285 104
   7 512  64
   8  32  65
   9 263 271
  10 451 359
  11 235 355
  12  55  79
  13 447 340
  14 346 247
  15 471 127
  16  36 263
  17 355  25
  18 429 168
  19 324 327
  20  46 158
  21 224 349
  22 163 273
  23  22 253
  24 463 134
  25 230 365
  26 447 210
  27 323 353
  28 318 340
  29  38 141
  30 172 253
  31 362  27
  32 100  12
  33 410 164
  34 190  53
  35  38  70
  36 454 193
  37 282  88
  38 223 338
  39  42 322
  40 442 345
  41 121 239
  42 109 157
  43 465 153
  44  30  61
  45 341 227
  46 110 231
  47 105 344
  48 297 116
  49 413 157
  50 439 162
  51 369  42
  52 115 355
  53 176 250
  54 115 167
  55 173  41
  56 326 319
  57 401 366
  58 133 333
  59  98 353
  60 462 159
  61 190  43
  62  36 154
  63 517  84
  64 407 366
  65 301 101
  66 447 367
  67  31 274
  68 325 337
  69  22 261
  70 114 242
  71 177 257
  72 348 217
  73 452 202
  74 252 250
  75 252 237
  76 433 259
  77 124 158
  78 270  77
  79 109 248
  80 185 254
  81 124 349
  82 298  10
  83 134 147
  84 264  90
  85 460 143
  86  39 261
  87  61  70
  88 179 212
  89 166 268
  90 429 175
  91 515 192
  92 111 345
  93 145 143
  94 506  48
  95 159 201
  96 515  41
  97  64  93
  98 401 358
  99 509 187
 100 263 247
 101 536 137
 102  36 355
 103 499 194
 104 442  12
 105 458 132
 106 177  30
 107 550 128
 108 182  57
 109 334 231
 110 146 359
 111 116 150
 112 371  52
 113 451   9
 114 544 253
 115 105 351
